ID,long,lat,name,short_description,street_address,zip,image_filename,moreinfo_link,pdf_link,year_built,year_listed,photo_source_name,photo_source_url,nrhp_reference
304,-85.662778,38.296389,Lincliff,,,,,,,,,,,
305,-85.602222,38.2625,Lindenberger-Grant House,,,,,,,,,,,
306,-85.770833,38.157778,Little Loomhouses,,,,,,,,,,,
307,-85.666667,38.155556,Locust Avenue,,,,,,,,,,,
308,-85.661111,38.288611,Locust Grove,,,,,,,,,,,
309,-85.413056,38.254722,Long Run Baptist Church and Cemetery,,,,,,,,,,,
310,-85.739722,38.229167,Louisville Cotton Mills,,,,,,,,,,,
311,-85.701389,38.280556,Louisville Water Company Pumping Station,,,,,,,,,,,
312,-85.749722,38.188056,James Russell Lowell Elementary School,,,,,,,,,,,
313,-85.590278,38.239444,Lyndon Cottage,,,,,,,,,,,
314,-85.590833,38.239722,Lynnford-Lyndon Hall,,,,,,,,,,,
315,-85.596111,38.272222,Maghera Glass-Ormsby Hall,,,,,,,,,,,
316,-85.539444,38.248611,Jefferson Marders House,,,,,,,,,,,
317,-85.461667,38.189167,Masonic Hall,,,,,,,,,,,
318,-85.6675,38.254444,Masonic Widows and Orphans Home,,,,,,,,,,,
319,-85.643889,38.322222,McBride's Harrods Creek Landing,,,,,,,,,,,
320,-85.597778,38.279444,McClure House,,,,,,,,,,,
321,-85.630556,38.328056,Merriwether House,,,,,,,,,,,
322,-85.539444,38.245556,Middletown Inn,,,,,,,,,,,
323,-85.539167,38.245,Middletown United Methodist Church,,,,,,,,,,,
324,-85.662222,38.2925,Midlands,,,,,,,,,,,
325,-85.682222,38.2725,Mockingbird Valley Historic District,,,,,,,,,,,
326,-85.434444,38.158056,Simeon Moore House,,,,,,,,,,,
327,-85.78,38.196111,Most Blessed Sacrament School,,,,,,,,,,,
328,-85.765556,38.239444,"Municipal College Campus, Simmons University",,,,,,,,,,,
329,-85.586944,38.290556,Dr. John Murray Farm,,,,,,,,,,,
330,-85.6275,38.321944,Nitta Yuma Historic District,,,,,,,,,,,
331,-85.766667,38.199722,Oakdale District,,,,,,,,,,,
332,-85.776111,38.215278,Olmsted Park System,,,,,,,,,,,
333,-85.542778,38.148611,Omer/Pound House,,,,,,,,,,,
334,-85.608333,38.2375,Oxmoor,,,,,,,,,,,
335,-85.727778,38.264722,Paget House and Heigold House Facade,,,,,,,,,,,
336,-85.629444,38.126944,Pennsylvania Run Presbyterian Church,,,,,,,,,,,
337,-85.696944,38.249444,Peterson Avenue Hill,,,,,,,,,,,
338,-85.696389,38.250833,Peterson-Dumesnil House,,,,,,,,,,,
339,-85.74,38.249722,Phoenix Hill Historic District,,,,,,,,,,,
340,-85.646944,38.305,Pirtle House,,,,,,,,,,,
341,-85.749444,38.236389,Preston-St. Catherine Street Historic District,,,,,,,,,,,
342,-85.696389,38.260556,Repton,,,,,,,,,,,
343,-85.648056,38.263889,Ridgeway,,,,,,,,,,,
344,-85.5275,38.205556,Rockdale,,,,,,,,,,,
345,-85.653056,38.305556,Rockledge,,,,,,,,,,,
346,-85.648056,38.184167,St. Bartholomew Parish School,,,,,,,,,,,
347,-85.743889,38.251389,St. Bonifacius Kirche Complex,,,,,,,,,,,
348,-85.739722,38.222778,St. Elizabeth of Hungary Roman Catholic Church,,,,,,,,,,,
349,-85.707051,38.252782,Saint Frances of Rome School,,,,,,,,,,,
350,-85.732222,38.235556,"St. Therese Roman Catholic Church, School, and Rectory",,,,,,,,,,,
351,-85.741111,38.233056,"St. Vincent DePaul Church, Rectory, School, St. Ursula Home and Convent",,,,,,,,,,,
352,-85.692222,38.261667,Selema Hall,,,,,,,,,,,
353,-85.639444,38.318333,Shady Brook Farm,,,,,,,,,,,
354,-85.745556,38.233611,Shelby Park Branch Library,,,,,,,,,,,
355,-85.655556,38.307778,Shwab House,,,,,,,,,,,
356,-85.607222,38.171944,Simeon Lewis Rural Historic District,,,,,,,,,,,
357,-85.743889,38.240833,Smoketown Historic District,,,,,,,,,,,
358,-85.576944,38.128056,Snapp House,,,,,,,,,,,
359,-85.579167,38.235833,Soldiers Retreat,,,,,,,,,,,
360,-85.781667,38.178056,South Louisville Reformed Church,,,,,,,,,,,
361,-85.767778,38.186944,Southern Heights-Beechmont District,,,,,,,,,,,
362,-85.669167,38.246944,Spring Station,,,,,,,,,,,
363,-85.7375,38.254444,Steam Engine Company No. 3,,,,,,,,,,,
364,-85.739722,38.235889,Steam Engine Company No. 4,,,,,,,,,,,
365,-85.726667,38.258194,Steam Engine Company No. 10,,,,,,,,,,,
366,-85.765,38.225833,Steam Engine Company No. 18,,,,,,,,,,,
367,-85.716778,38.256944,Steam Engine Company No. 21,,,,,,,,,,,
368,-85.813333,38.250278,Steam Engine Company No. 22,,,,,,,,,,,
369,-85.574167,38.246111,Arthur P. Stitzel House,,,,,,,,,,,
370,-85.62,38.195556,Zodia Stivers House,,,,,,,,,,,
371,-85.536667,38.121111,Ben Stout House,,,,,,,,,,,
372,-85.763889,38.235556,Stuart Building,,,,,,,,,,,
373,-85.576111,38.190833,Stucky House,,,,,,,,,,,
374,-85.678611,38.2475,Sunnyside,,,,,,,,,,,
375,-85.618333,38.174722,Taggart House,,,,,,,,,,,
376,-85.647222,38.279167,Zachary Taylor House,,,,,,,,,,,
377,-85.639167,38.2775,Zachary Taylor National Cemetery,,,,,,,,,,,
378,-85.7025,38.253611,Three Mile Tollhouse,,,,,,,,,,,
379,-85.749722,38.230556,George H. Tingley Elementary School,,,,,,,,,,,
380,-85.611389,38.353333,James Trigg House,,,,,,,,,,,
381,-85.550278,38.205833,Hazael Tucker House,,,,,,,,,,,
382,-85.566111,38.231667,Tway House,,,,,,,,,,,
383,-85.529722,38.193611,Tyler Settlement Rural Historic District,,,,,,,,,,,
384,-85.533889,38.195833,Moses Tyler House,,,,,,,,,,,
385,-85.520556,38.191111,Robert Tylor Place,,,,,,,,,,,
386,-85.760556,38.215556,University of Louisville Belknap Campus,,,,,,,,,,,
387,-85.759118,38.215399,University of Louisville Library,,,,,,,,,,,
388,-85.738889,38.246667,Ursuline Academy and Convent,,,,,,,,,,,
389,-85.574444,38.313056,Von Allmen Dairy Farm House,,,,,,,,,,,
390,-85.841111,38.131389,Waverly Hills Tuberculosis Sanitarium Historic Buildings,,,,,,,,,,,
391,-85.601111,38.196667,Westwood Farm,,,,,,,,,,,
392,-85.597222,38.355556,Wilhoyte House,,,,,,,,,,,
393,-85.528889,38.269722,Abraham L. Williams L & N Guest House,,,,,,,,,,,
394,-85.645278,38.243611,Winchester House,,,,,,,,,,,
395,-85.657778,38.301389,Winkworth,,,,,,,,,,,
396,-85.734722,38.243611,"Wirth, Lang and Company-The Louisville Leather Company Tannery Building",,,,,,,,,,,
397,-85.596389,38.33,Wolf Pen Branch Mill,,,,,,,,,,,
398,-85.648056,38.294167,Woodside/John T. Bate House,,,,,,,,,,,
399,-85.548056,38.228056,George B. Yenowine House,,,,,,,,,,,
400,-85.603333,38.218056,Yenowine-Kennedy House,,,,,,,,,,,
